,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Occupation,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Maldives,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Household income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,,,21,,
Maldives,Female (Sex),Total (Skill level),Household income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,,,56,,
Maldives,Female (Sex),Not elsewhere classified (Skill level),Household income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,,,2,,
Maldives,Total (Sex),Skill level 1 (low) (Skill level),Population and Housing Census,Population census,,,38,,,,,,14,,,,
Maldives,Total (Sex),Skill level 2 (medium) (Skill level),Population and Housing Census,Population census,,,32,,,,,,78,,,,
Maldives,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Population and Housing Census,Population census,,,11,,,,,,49,,,,
Maldives,Total (Sex),Total (Skill level),Population and Housing Census,Population census,,,81,,,,,,146,,,,
Maldives,Total (Sex),Not elsewhere classified (Skill level),Population and Housing Census,Population census,,,,,,,,,4,,,,
Maldives,Male (Sex),Skill level 1 (low) (Skill level),Population and Housing Census,Population census,,,,,,,,,9,,,,
Maldives,Male (Sex),Skill level 2 (medium) (Skill level),Population and Housing Census,Population census,,,,,,,,,49,,,,
Maldives,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Population and Housing Census,Population census,,,,,,,,,31,,,,
Maldives,Male (Sex),Total (Skill level),Population and Housing Census,Population census,,,,,,,,,92,,,,
Maldives,Male (Sex),Not elsewhere classified (Skill level),Population and Housing Census,Population census,,,,,,,,,4,,,,
Maldives,Female (Sex),Skill level 1 (low) (Skill level),Population and Housing Census,Population census,,,,,,,,,5,,,,
Maldives,Female (Sex),Skill level 2 (medium) (Skill level),Population and Housing Census,Population census,,,,,,,,,30,,,,
Maldives,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Population and Housing Census,Population census,,,,,,,,,18,,,,
Maldives,Female (Sex),Total (Skill level),Population and Housing Census,Population census,,,,,,,,,53,,,,
Maldives,Female (Sex),Not elsewhere classified (Skill level),Population and Housing Census,Population census,,,,,,,,,1,,,,
Mali,Total (Sex),Skill level 1 (low) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,124,112,97,,
Mali,Total (Sex),Skill level 2 (medium) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,5384,5470,5140,,
Mali,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,210,220,201,,
Mali,Total (Sex),Total (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,5730,5824,5458,,
Mali,Total (Sex),Not elsewhere classified (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,11,22,20,,
Mali,Male (Sex),Skill level 1 (low) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,66,46,48,,
Mali,Male (Sex),Skill level 2 (medium) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,2885,2916,2885,,
Mali,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,164,170,155,,
Mali,Male (Sex),Total (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,3124,3154,3106,,
Mali,Male (Sex),Not elsewhere classified (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,10,21,17,,
Mali,Female (Sex),Skill level 1 (low) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,59,65,49,,
Mali,Female (Sex),Skill level 2 (medium) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,2499,2554,2255,,
Mali,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,47,50,46,,
Mali,Female (Sex),Total (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,2606,2670,2352,,
Mali,Female (Sex),Not elsewhere classified (Skill level),Continous Household Employment Survey,Labour force survey,,,,,,,,,1,1,3,,
Malta,Total (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,18,19,19,19,20,17,16,17,18,18,18,19,19
Malta,Total (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,77,80,81,80,82,85,85,89,94,98,102,106,111
Malta,Total (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,54,55,57,59,59,63,69,74,77,81,86,93,102
Malta,Total (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,151,155,159,159,163,167,173,182,191,198,208,221,234
Malta,Total (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,2,2,2,1,1,2,2,2,2,2,2,2,2
Malta,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,15,15,14,15,15,12,11,12,12,12,12,13,12
Malta,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,53,54,54,54,54,54,53,54,56,60,61,61,64
Malta,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,35,35,37,36,36,40,43,45,47,47,51,57,61
Malta,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,105,105,106,106,107,108,109,112,116,121,126,133,139
Malta,Male (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,2,2,2,1,1,2,2,2,2,2,2,2,2
Malta,Female (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,4,5,6,5,5,4,5,5,6,5,6,6,7
Malta,Female (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,24,26,27,26,28,31,33,35,38,38,41,45,47
Malta,Female (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,19,19,20,23,23,23,26,29,30,33,35,37,41
Malta,Female (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,47,50,53,54,56,58,64,69,74,77,82,88,95
Malta,Female (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,,,0,0,0,0,,,,,,,
Mauritius,Total (Sex),Skill level 1 (low) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,102,98,99,99,97,89,89,83,85,88,83,85,
Mauritius,Total (Sex),Skill level 2 (medium) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,305,306,315,317,321,313,316,313,313,317,322,329,
Mauritius,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,76,75,77,83,89,100,103,126,131,132,133,130,
Mauritius,Total (Sex),Total (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,484,483,494,501,510,506,512,526,531,538,539,545,
Mauritius,Total (Sex),Not elsewhere classified (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,1,3,2,3,3,4,4,4,2,1,1,1,
Mauritius,Male (Sex),Skill level 1 (low) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,63,61,60,59,55,47,45,41,41,43,39,41,
Mauritius,Male (Sex),Skill level 2 (medium) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,211,214,216,217,219,216,218,216,215,216,219,223,
Mauritius,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,47,45,46,49,52,60,63,71,76,74,78,75,
Mauritius,Male (Sex),Total (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,323,322,324,326,329,326,329,332,333,334,337,339,
Mauritius,Male (Sex),Not elsewhere classified (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,1,2,1,2,2,3,3,3,1,1,1,1,
Mauritius,Female (Sex),Skill level 1 (low) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,38,37,39,40,41,41,43,43,44,46,44,44,
Mauritius,Female (Sex),Skill level 2 (medium) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,94,92,99,100,101,97,98,96,97,101,104,106,
Mauritius,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,28,30,32,33,37,40,40,54,56,58,54,55,
Mauritius,Female (Sex),Total (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,162,161,170,175,181,180,183,194,198,205,202,206,
Mauritius,Female (Sex),Not elsewhere classified (Skill level),Continuous Multi-Purpose Household Survey,Labour force survey,0,1,1,1,1,1,1,1,0,1,0,1,
Mauritius,Total (Sex),Skill level 1 (low) (Skill level),Population Census,Population census,,,,,,84,,,,,,,
Mauritius,Total (Sex),Skill level 2 (medium) (Skill level),Population Census,Population census,,,,,,315,,,,,,,
Mauritius,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Population Census,Population census,,,,,,122,,,,,,,
Mauritius,Total (Sex),Total (Skill level),Population Census,Population census,,,,,,522,,,,,,,
Mauritius,Total (Sex),Not elsewhere classified (Skill level),Population Census,Population census,,,,,,1,,,,,,,
Mauritius,Male (Sex),Skill level 1 (low) (Skill level),Population Census,Population census,,,,,,44,,,,,,,
Mauritius,Male (Sex),Skill level 2 (medium) (Skill level),Population Census,Population census,,,,,,219,,,,,,,
Mauritius,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Population Census,Population census,,,,,,73,,,,,,,
Mauritius,Male (Sex),Total (Skill level),Population Census,Population census,,,,,,337,,,,,,,
Mauritius,Male (Sex),Not elsewhere classified (Skill level),Population Census,Population census,,,,,,1,,,,,,,
Mauritius,Female (Sex),Skill level 1 (low) (Skill level),Population Census,Population census,,,,,,40,,,,,,,
Mauritius,Female (Sex),Skill level 2 (medium) (Skill level),Population Census,Population census,,,,,,96,,,,,,,
Mauritius,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Population Census,Population census,,,,,,49,,,,,,,
Mauritius,Female (Sex),Total (Skill level),Population Census,Population census,,,,,,185,,,,,,,
Mauritius,Female (Sex),Not elsewhere classified (Skill level),Population Census,Population census,,,,,,0,,,,,,,
Mexico,Total (Sex),Skill level 1 (low) (Skill level),National Occupation and Employment Survey,Labour force survey,7966,7991,8109,8330,8452,8471,9731,10401,10408,10763,10805,10762,10768
Mexico,Total (Sex),Skill level 2 (medium) (Skill level),National Occupation and Employment Survey,Labour force survey,29479,30173,30643,30648,31125,31862,30355,28586,28905,29484,30205,30765,31652
Mexico,Total (Sex),Skill levels 3 and 4 (high) (Skill level),National Occupation and Employment Survey,Labour force survey,5931,6065,6189,6450,6539,6792,8289,9626,9550,9774,9990,10222,10681
Mexico,Total (Sex),Total (Skill level),National Occupation and Employment Survey,Labour force survey,43378,44231,44944,45435,46122,47139,48707,49227,49415,50611,51595,52341,53721
Mexico,Total (Sex),Not elsewhere classified (Skill level),National Occupation and Employment Survey,Labour force survey,3,1,3,8,6,14,332,614,553,590,594,592,621
Mexico,Male (Sex),Skill level 1 (low) (Skill level),National Occupation and Employment Survey,Labour force survey,7240,7243,7389,7673,7785,7791,7220,6250,6292,6474,6502,6438,6445
Mexico,Male (Sex),Skill level 2 (medium) (Skill level),National Occupation and Employment Survey,Labour force survey,16694,17023,17298,17100,17434,17836,18097,18443,18826,19105,19567,20033,20508
Mexico,Male (Sex),Skill levels 3 and 4 (high) (Skill level),National Occupation and Employment Survey,Labour force survey,3302,3364,3452,3549,3583,3749,4505,5145,5111,5266,5292,5424,5639
Mexico,Male (Sex),Total (Skill level),National Occupation and Employment Survey,Labour force survey,27238,27631,28141,28327,28807,29386,30123,30398,30737,31384,31899,32428,33152
Mexico,Male (Sex),Not elsewhere classified (Skill level),National Occupation and Employment Survey,Labour force survey,2,1,2,5,6,9,301,560,507,539,539,533,560
Mexico,Female (Sex),Skill level 1 (low) (Skill level),National Occupation and Employment Survey,Labour force survey,726,748,720,657,667,680,2511,4151,4115,4289,4304,4324,4323
Mexico,Female (Sex),Skill level 2 (medium) (Skill level),National Occupation and Employment Survey,Labour force survey,12785,13151,13345,13548,13691,14026,12258,10143,10079,10378,10638,10731,11144
Mexico,Female (Sex),Skill levels 3 and 4 (high) (Skill level),National Occupation and Employment Survey,Labour force survey,2629,2701,2737,2901,2956,3042,3784,4481,4439,4508,4699,4798,5041
Mexico,Female (Sex),Total (Skill level),National Occupation and Employment Survey,Labour force survey,16140,16600,16803,17109,17314,17753,18584,18829,18679,19228,19696,19913,20569
Mexico,Female (Sex),Not elsewhere classified (Skill level),National Occupation and Employment Survey,Labour force survey,1,,0,3,0,5,32,54,46,51,55,59,60
"Micronesia, Federated States of",Total (Sex),Skill level 1 (low) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,4,,,,
"Micronesia, Federated States of",Total (Sex),Skill level 2 (medium) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,20,,,,
"Micronesia, Federated States of",Total (Sex),Skill levels 3 and 4 (high) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,7,,,,
"Micronesia, Federated States of",Total (Sex),Total (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,36,,,,
"Micronesia, Federated States of",Total (Sex),Not elsewhere classified (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,5,,,,
"Micronesia, Federated States of",Male (Sex),Skill level 1 (low) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,3,,,,
"Micronesia, Federated States of",Male (Sex),Skill level 2 (medium) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,13,,,,
"Micronesia, Federated States of",Male (Sex),Skill levels 3 and 4 (high) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,4,,,,
"Micronesia, Federated States of",Male (Sex),Total (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,22,,,,
"Micronesia, Federated States of",Male (Sex),Not elsewhere classified (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,2,,,,
"Micronesia, Federated States of",Female (Sex),Skill level 1 (low) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,1,,,,
"Micronesia, Federated States of",Female (Sex),Skill level 2 (medium) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,6,,,,
"Micronesia, Federated States of",Female (Sex),Skill levels 3 and 4 (high) (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,3,,,,
"Micronesia, Federated States of",Female (Sex),Total (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,14,,,,
"Micronesia, Federated States of",Female (Sex),Not elsewhere classified (Skill level),Household Income and Expenditure Survey,Household income/expenditure survey,,,,,,,,,4,,,,
"Moldova, Republic of",Total (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,275,312,314,283,312,336,360,378,263,174,152,148,129
"Moldova, Republic of",Total (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,617,587,577,549,488,478,420,436,578,748,732,727,789
"Moldova, Republic of",Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,358,341,353,346,338,355,359,351,339,340,330,327,333
"Moldova, Republic of",Total (Sex),Total (Skill level),Labour force survey,Labour force survey,1257,1247,1251,1184,1143,1173,1147,1173,1185,1266,1220,1208,1252
"Moldova, Republic of",Total (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,8,7,8,7,6,5,7,8,5,4,6,6,1
"Moldova, Republic of",Male (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,146,167,167,155,175,183,194,202,140,97,85,84,73
"Moldova, Republic of",Male (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,325,315,312,297,259,261,233,237,313,403,386,391,413
"Moldova, Republic of",Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,150,132,143,139,133,143,142,146,138,129,129,129,135
"Moldova, Republic of",Male (Sex),Total (Skill level),Labour force survey,Labour force survey,629,622,629,598,573,593,576,592,597,633,606,609,622
"Moldova, Republic of",Male (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,8,7,7,7,6,5,7,7,5,4,5,5,1
"Moldova, Republic of",Female (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,129,145,147,128,136,152,167,176,123,77,67,64,56
"Moldova, Republic of",Female (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,292,272,265,252,229,216,186,199,264,345,346,336,376
"Moldova, Republic of",Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,208,209,210,206,204,212,217,205,201,211,201,198,198
"Moldova, Republic of",Female (Sex),Total (Skill level),Labour force survey,Labour force survey,629,626,622,587,570,581,571,581,588,634,614,598,630
"Moldova, Republic of",Female (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,0,0,1,0,,,0,0,0,,0,0,
Mongolia,Total (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,48,51,69,76,71,74,78,85,81,92,
Mongolia,Total (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,651,680,716,719,723,741,749,779,776,846,
Mongolia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,200,203,248,240,257,283,278,283,286,295,
Mongolia,Total (Sex),Total (Skill level),Labour force survey,Labour force survey,,,900,934,1034,1038,1056,1104,1111,1151,1148,1238,
Mongolia,Total (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,3,5,6,6,5,5,6,
Mongolia,Male (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,24,25,33,42,40,41,45,48,47,50,
Mongolia,Male (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,359,379,407,402,396,411,415,431,432,475,
Mongolia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,84,83,104,101,109,122,119,121,120,122,
Mongolia,Male (Sex),Total (Skill level),Labour force survey,Labour force survey,,,466,487,543,548,550,579,584,605,604,653,
Mongolia,Male (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,3,5,5,5,4,4,5,
Mongolia,Female (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,25,26,36,34,30,32,33,37,34,42,
Mongolia,Female (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,293,301,310,317,327,330,334,347,344,371,
Mongolia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,117,120,145,139,148,162,159,162,165,172,
Mongolia,Female (Sex),Total (Skill level),Labour force survey,Labour force survey,,,434,447,491,490,506,524,526,547,544,586,
Mongolia,Female (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,0,1,1,1,0,0,1,
Mongolia,Total (Sex),Skill level 1 (low) (Skill level),Official Estimates,Official estimate,224,215,215,,,,,,,,,,
Mongolia,Total (Sex),Skill level 2 (medium) (Skill level),Official Estimates,Official estimate,594,608,616,,,,,,,,,,
Mongolia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Official Estimates,Official estimate,192,201,211,,,,,,,,,,
Mongolia,Total (Sex),Total (Skill level),Official Estimates,Official estimate,1010,1024,1042,,,,,,,,,,
Mongolia,Male (Sex),Skill level 1 (low) (Skill level),Official Estimates,Official estimate,110,106,102,,,,,,,,,,
Mongolia,Male (Sex),Skill level 2 (medium) (Skill level),Official Estimates,Official estimate,293,303,312,,,,,,,,,,
Mongolia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Official Estimates,Official estimate,89,95,99,,,,,,,,,,
Mongolia,Male (Sex),Total (Skill level),Official Estimates,Official estimate,492,504,513,,,,,,,,,,
Mongolia,Female (Sex),Skill level 1 (low) (Skill level),Official Estimates,Official estimate,114,109,113,,,,,,,,,,
Mongolia,Female (Sex),Skill level 2 (medium) (Skill level),Official Estimates,Official estimate,300,305,305,,,,,,,,,,
Mongolia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Official Estimates,Official estimate,104,106,112,,,,,,,,,,
Mongolia,Female (Sex),Total (Skill level),Official Estimates,Official estimate,518,520,529,,,,,,,,,,
Montenegro,Total (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,,19,19,17,16,14,12,13,13,16,17,19,19
Montenegro,Total (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,,122,126,122,117,108,113,108,120,121,122,124,131
Montenegro,Total (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,,70,76,74,75,72,75,80,82,83,84,86,87
Montenegro,Total (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,,213,222,214,209,195,201,202,216,222,224,229,237
Montenegro,Total (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,,,1,1,1,1,1,1,1,1,1,1,
Montenegro,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,,11,10,9,8,8,5,6,5,7,8,10,9
Montenegro,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,,74,78,75,71,67,67,64,73,71,74,77,83
Montenegro,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,,35,38,38,38,34,38,39,40,41,41,41,40
Montenegro,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,,122,127,122,119,110,111,111,119,121,123,129,133
Montenegro,Male (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,,,1,1,1,1,1,1,1,1,1,1,
Montenegro,Female (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,,8,9,8,8,6,7,7,8,9,9,10,10
Montenegro,Female (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,,48,49,47,46,41,46,43,47,50,48,47,48
Montenegro,Female (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,,35,38,36,37,38,37,40,42,42,43,45,46
Montenegro,Female (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,,91,95,91,90,85,89,91,97,101,101,101,104
Morocco,Total (Sex),Skill level 1 (low) (Skill level),National Employment Survey,Labour force survey,1523,1661,1626,1615,1623,1608,,,,,,,
Morocco,Total (Sex),Skill level 2 (medium) (Skill level),National Employment Survey,Labour force survey,7692,7717,7868,7909,8064,8166,,,,,,,
Morocco,Total (Sex),Skill levels 3 and 4 (high) (Skill level),National Employment Survey,Labour force survey,709,675,691,761,718,725,,,,,,,
Morocco,Total (Sex),Total (Skill level),National Employment Survey,Labour force survey,9928,10056,10189,10284,10405,10509,,,,,,,
Morocco,Total (Sex),Not elsewhere classified (Skill level),National Employment Survey,Labour force survey,4,4,4,,,11,,,,,,,
Morocco,Male (Sex),Skill level 1 (low) (Skill level),National Employment Survey,Labour force survey,1242,1355,1323,,,,,,,,,,
Morocco,Male (Sex),Skill level 2 (medium) (Skill level),National Employment Survey,Labour force survey,5502,5505,5660,,,,,,,,,,
Morocco,Male (Sex),Skill levels 3 and 4 (high) (Skill level),National Employment Survey,Labour force survey,487,461,467,,,,,,,,,,
Morocco,Male (Sex),Total (Skill level),National Employment Survey,Labour force survey,7233,7324,7454,,,,,,,,,,
Morocco,Male (Sex),Not elsewhere classified (Skill level),National Employment Survey,Labour force survey,3,3,3,,,,,,,,,,
Morocco,Female (Sex),Skill level 1 (low) (Skill level),National Employment Survey,Labour force survey,281,305,302,,,,,,,,,,
Morocco,Female (Sex),Skill level 2 (medium) (Skill level),National Employment Survey,Labour force survey,2190,2212,2208,,,,,,,,,,
Morocco,Female (Sex),Skill levels 3 and 4 (high) (Skill level),National Employment Survey,Labour force survey,223,215,225,,,,,,,,,,
Morocco,Female (Sex),Total (Skill level),National Employment Survey,Labour force survey,2694,2733,2736,,,,,,,,,,
Morocco,Female (Sex),Not elsewhere classified (Skill level),National Employment Survey,Labour force survey,0,1,1,,,,,,,,,,
Mozambique,Total (Sex),Skill level 1 (low) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,430,,,
Mozambique,Total (Sex),Skill level 2 (medium) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,9009,,,
Mozambique,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,379,,,
Mozambique,Total (Sex),Total (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,9831,,,
Mozambique,Total (Sex),Not elsewhere classified (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,13,,,
Mozambique,Male (Sex),Skill level 1 (low) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,255,,,
Mozambique,Male (Sex),Skill level 2 (medium) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,4145,,,
Mozambique,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,250,,,
Mozambique,Male (Sex),Total (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,4660,,,
Mozambique,Male (Sex),Not elsewhere classified (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,10,,,
Mozambique,Female (Sex),Skill level 1 (low) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,175,,,
Mozambique,Female (Sex),Skill level 2 (medium) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,4864,,,
Mozambique,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,129,,,
Mozambique,Female (Sex),Total (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,5171,,,
Mozambique,Female (Sex),Not elsewhere classified (Skill level),Household budget Survey ,Household income/expenditure survey,,,,,,,,,,3,,,
Myanmar,Total (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,3868,,4898,
Myanmar,Total (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,16636,,15849,
Myanmar,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,1178,,1168,
Myanmar,Total (Sex),Total (Skill level),Labour force survey,Labour force survey,,,,,,,,,,21791,,21942,
Myanmar,Total (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,,,,,110,,27,
Myanmar,Male (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,2266,,2968,
Myanmar,Male (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,9476,,9216,
Myanmar,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,591,,485,
Myanmar,Male (Sex),Total (Skill level),Labour force survey,Labour force survey,,,,,,,,,,12391,,12694,
Myanmar,Male (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,,,,,58,,24,
Myanmar,Female (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,1602,,1930,
Myanmar,Female (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,7160,,6633,
Myanmar,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,587,,683,
Myanmar,Female (Sex),Total (Skill level),Labour force survey,Labour force survey,,,,,,,,,,9400,,9249,
